order_id,order_value,leakage_flag,order_purchase_timestamp,order_estimated_delivery_date,order_delivered_customer_date,review_score,payment_type,customer_id,seller_id,order_status,loss_amount,delivery_delay,order_month,order_weekday,order_value_log,delay_value_interaction,pred_leak_proba,pred_loss_amount
00a500bc03bc4ec968e574c2553bed4b,0.0,1,2017-11-23 10:53:01,2018-01-08,,2.0,credit_card,3d2f26eab3f79dd1fe9977f615e70c2f,,unavailable,0.0,0.0,2017-11,3,0.0,0.0,1.0,0.0
00bca4adac549020c1273714d04d0208,0.0,1,2017-02-14 14:49:29,2017-03-13,,4.0,credit_card,1541ebabf956d17f3afe883790bd7dd3,,unavailable,0.0,0.0,2017-02,1,0.0,0.0,1.0,0.0
01cb6d702e5233235f4125309d184bf4,0.0,1,2017-01-31 17:48:07,2017-03-10,,3.0,boleto,cf52d3f2132b17f52fdf4b40c135163e,,unavailable,0.0,0.0,2017-01,1,0.0,0.0,1.0,0.0
02bfe71c2bbd56f6de9c2c357adff45c,0.0,1,2017-12-03 14:28:40,2017-12-27,,2.0,credit_card,6993a774e7e22bbbf14659e8c03da133,,unavailable,0.0,0.0,2017-12,6,0.0,0.0,1.0,0.0
02de1e44936e56ddc1621c46d86bf91e,0.0,1,2018-08-21 12:21:00,2018-08-29,,3.0,credit_card,c4c369211d1aaab90c8e097f6939dda2,,unavailable,0.0,0.0,2018-08,1,0.0,0.0,1.0,0.0
03227bf7c543bbee4efa38bb6c6763c8,0.0,1,2017-09-08 17:57:39,2017-09-25,,3.0,boleto,416d631088217221eb0b4c18b9b8992f,,unavailable,0.0,0.0,2017-09,4,0.0,0.0,1.0,0.0
03310aa823a66056268a3bab36e827fb,0.0,1,2018-08-07 16:33:59,2018-09-04,,1.0,voucher,25dbbf0c477fd4ae0880aaffbb12e8b3,,canceled,0.0,0.0,2018-08,1,0.0,0.0,1.0,0.0
04b8c60eb3cceaecde917716daa30bde,0.0,1,2017-11-27 18:35:48,2017-12-19,,1.0,voucher,a6a3ccd6981f76577a6cfcac362430b2,,unavailable,0.0,0.0,2017-11,0,0.0,0.0,1.0,0.0
0623dbbd06c0d4059dbfefab8748a491,0.0,1,2018-08-20 14:17:09,2018-09-12,,1.0,voucher,c954645fa23249e4c2b0dd3679b0b177,,canceled,0.0,0.0,2018-08,0,0.0,0.0,1.0,0.0
091deda616c370d63f0bf9a3f525fb34,0.0,1,2017-08-11 11:08:53,2017-09-04,,2.0,credit_card,0edf9134fdbeacc3596fa523a869ad04,,unavailable,0.0,0.0,2017-08,4,0.0,0.0,1.0,0.0
09f541f117ac3f665dc3aad6d3bb8fc9,0.0,1,2017-04-20 14:54:24,2017-05-19,,3.0,credit_card,9f2034168e1690d1dccc52e62fd50ba5,,canceled,0.0,0.0,2017-04,3,0.0,0.0,1.0,0.0
0bde826daa0bd10393e958cf5d69dd26,0.0,1,2017-02-04 10:28:25,2017-03-01,,4.0,boleto,dc9e4413d260758a6e889a0f87aefa7d,,unavailable,0.0,0.0,2017-02,5,0.0,0.0,1.0,0.0
0cfc5b8b63bf71f738f96e68adb96b3d,0.0,1,2017-12-05 20:48:42,2018-01-10,,4.0,boleto,f9627108e19721bd9781efd9f559abf0,,unavailable,0.0,0.0,2017-12,1,0.0,0.0,1.0,0.0
0d2c1a413f6aa3a36b8bb940b028f930,0.0,1,2017-11-23 11:14:30,2017-12-14,,1.0,voucher,2c5f389b555d4b71b509d8696f18b86f,,unavailable,0.0,0.0,2017-11,3,0.0,0.0,1.0,0.0
0d3adebce4bebc1f80a7f36e9833f497,0.0,1,2018-09-03 18:40:50,2018-10-02,,1.0,voucher,a7c87c25dbdded68c26c640582cb5ddb,,canceled,0.0,0.0,2018-09,0,0.0,0.0,1.0,0.0
